player_name,bbref_slug,team,salary,years_remaining,is_rookie_scale,has_player_option,has_team_option
Mason Plumlee,plumlma01,SAS,3022108,1,False,False,False
Jeremiah Robinson-Earl,robinje02,IND,131970,1,False,False,False
Jeremiah Robinson-Earl,robinje02,IND,131970,1,False,False,False
Garrison Mathews,mathega01,IND,429325,1,False,False,False
Garrison Mathews,mathega01,IND,429325,1,False,False,False
Mo Bamba,bambamo01,UTA,458711,1,False,False,False
Mo Bamba,bambamo01,UTA,458711,1,False,False,False
Killian Hayes,hayeski01,SAC,263940,1,False,False,False
Killian Hayes,hayeski01,SAC,263940,1,False,False,False
Charles Bassey,bassech01,PHI,263940,1,False,False,False
Charles Bassey,bassech01,PHI,263940,1,False,False,False
Christian Koloko,kolokch01,MEM,263940,1,False,False,False
Christian Koloko,kolokch01,MEM,263940,1,False,False,False
Alondes Williams,willial06,WAS,131970,1,False,False,False
Skal Labissière,labissk01,WAS,131970,1,False,False,False
Patrick Baldwin Jr.,baldwpa01,PHI,263940,1,False,False,False
Kobe Bufkin,bufkiko01,MEM,5480297,1,False,False,True
Rayan Rupert,ruperra01,MEM,2353647,1,False,False,True
Charles Bassey,bassech01,MEM,263940,1,False,False,False
Dalano Banton,bantoda01,LAC,263940,1,False,False,False
Patrick Baldwin Jr.,baldwpa01,LAC,263940,1,False,False,False
Jeremiah Robinson-Earl,robinje02,DAL,131970,1,False,False,False
Dalano Banton,bantoda01,BOS,263940,1,False,False,False
Tre Scott,scotttr01,BRK,129503,1,False,False,False
Lawson Lovering,loverla01,MEM,87784,1,False,False,False
Adama-Alpha Bal,balad01,MEM,117045,1,False,False,False
Malachi Smith,smithma02,BRK,73153,1,False,False,False
Kadary Richmond,richmka01,WAS,73153,1,False,False,False
Keshon Gilbert,gilbeke01,WAS,73153,1,False,False,False
Gabe McGlothan,mcgloga01,IND,73153,1,False,False,False
Grant Nelson,nelsogr02,BRK,73153,1,False,False,False
John Tonje,tonjejo01,BOS,73153,1,False,False,False
Jaden Springer,sprinja01,NOP,70732,1,False,False,False
Tre Scott,scotttr01,BRK,129503,1,False,False,False
Adama-Alpha Bal,balad01,MEM,117045,1,False,False,False
Malachi Smith,smithma02,BRK,73153,1,False,False,False
Lucas Williamson,willilu01,MEM,21946,1,False,False,False
Tre Scott,scotttr01,BRK,129503,1,False,False,False
